expr_name,tier,node_count,curve,app_target,app_actual,sweeps,rules_allowed,classes,nodes,cost,stop,clamped,regret_pct
band0_depth2_s0,rapid,11,unguided,25,15,2,62,15,15,31,quiesced,false,0.0000
band0_depth2_s0,rapid,11,unguided,50,15,2,62,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,unguided,100,15,2,62,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,unguided,200,15,2,62,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,unguided,400,15,2,62,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,unguided,800,15,2,62,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,unguided,1600,15,2,62,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,unguided,3200,15,2,62,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,unguided,6400,15,2,62,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,unguided,12800,15,2,62,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,unguided,25600,15,2,62,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,unguided,51200,15,2,62,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,unguided,102400,15,2,62,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,unguided,204800,15,2,62,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,oracle,25,15,2,4,15,15,31,quiesced,false,0.0000
band0_depth2_s0,rapid,11,oracle,50,15,2,4,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,oracle,100,15,2,4,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,oracle,200,15,2,4,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,oracle,400,15,2,4,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,oracle,800,15,2,4,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,oracle,1600,15,2,4,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,oracle,3200,15,2,4,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,oracle,6400,15,2,4,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,oracle,12800,15,2,4,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,oracle,25600,15,2,4,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,oracle,51200,15,2,4,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,oracle,102400,15,2,4,15,15,31,quiesced,true,0.0000
band0_depth2_s0,rapid,11,oracle,204800,15,2,4,15,15,31,quiesced,true,0.0000
band0_depth2_s1,blitz,9,unguided,25,15,2,62,11,11,7,quiesced,false,0.0000
band0_depth2_s1,blitz,9,unguided,50,15,2,62,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,unguided,100,15,2,62,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,unguided,200,15,2,62,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,unguided,400,15,2,62,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,unguided,800,15,2,62,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,unguided,1600,15,2,62,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,unguided,3200,15,2,62,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,unguided,6400,15,2,62,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,unguided,12800,15,2,62,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,unguided,25600,15,2,62,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,unguided,51200,15,2,62,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,unguided,102400,15,2,62,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,unguided,204800,15,2,62,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,oracle,25,13,2,4,11,11,7,quiesced,false,0.0000
band0_depth2_s1,blitz,9,oracle,50,13,2,4,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,oracle,100,13,2,4,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,oracle,200,13,2,4,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,oracle,400,13,2,4,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,oracle,800,13,2,4,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,oracle,1600,13,2,4,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,oracle,3200,13,2,4,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,oracle,6400,13,2,4,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,oracle,12800,13,2,4,11,11,7,quiesced,true,0.0000
band0_depth2_s1,blitz,9,oracle,25600,13,2,4,11,11,7,quiesced,true,0.0000
